location_id,location_name,city,province,latitude,longitude,zone_type
LOC-001,Sudirman CBD,Jakarta,DKI Jakarta,-6.2088,106.8456,Commercial
LOC-002,Kuningan,Jakarta,DKI Jakarta,-6.2297,106.831,Commercial
LOC-003,Blok M,Jakarta,DKI Jakarta,-6.2441,106.7993,Commercial
LOC-004,Kemang,Jakarta,DKI Jakarta,-6.2607,106.8138,Residential
LOC-005,Kelapa Gading,Jakarta,DKI Jakarta,-6.1603,106.9017,Residential
LOC-006,Pluit,Jakarta,DKI Jakarta,-6.1208,106.7936,Residential
LOC-007,Tanjung Priok,Jakarta,DKI Jakarta,-6.108,106.8755,Industrial
LOC-008,Cengkareng,Jakarta,DKI Jakarta,-6.1404,106.6601,Industrial
LOC-009,Fatmawati,Jakarta,DKI Jakarta,-6.2918,106.7973,Residential
LOC-010,Menteng,Jakarta,DKI Jakarta,-6.1968,106.8318,Residential
LOC-011,Grogol,Jakarta,DKI Jakarta,-6.1681,106.7902,Commercial
LOC-012,Senen,Jakarta,DKI Jakarta,-6.1775,106.8453,Commercial
LOC-013,Dago,Bandung,Jawa Barat,-6.8767,107.6119,Commercial
LOC-014,Buah Batu,Bandung,Jawa Barat,-6.9447,107.6374,Residential
LOC-015,Cihampelas,Bandung,Jawa Barat,-6.8976,107.6028,Commercial
LOC-016,Antapani,Bandung,Jawa Barat,-6.9175,107.6587,Residential
LOC-017,Gedebage,Bandung,Jawa Barat,-6.9501,107.6993,Industrial
LOC-018,Pasteur,Bandung,Jawa Barat,-6.8876,107.5872,Commercial
LOC-019,Gubeng,Surabaya,Jawa Timur,-7.2671,112.7509,Commercial
LOC-020,Rungkut,Surabaya,Jawa Timur,-7.3296,112.7758,Industrial
LOC-021,Darmo,Surabaya,Jawa Timur,-7.284,112.7282,Residential
LOC-022,Wonokromo,Surabaya,Jawa Timur,-7.3034,112.7357,Commercial
LOC-023,Kenjeran,Surabaya,Jawa Timur,-7.2278,112.7726,Residential
LOC-024,Waru,Surabaya,Jawa Timur,-7.368,112.7282,Industrial
LOC-025,Medan Kota,Medan,Sumatera Utara,3.5896,98.6739,Commercial
LOC-026,Helvetia,Medan,Sumatera Utara,3.6227,98.639,Residential
LOC-027,Marelan,Medan,Sumatera Utara,3.689,98.6601,Industrial
LOC-028,Sunggal,Medan,Sumatera Utara,3.5712,98.6271,Residential
LOC-029,Polonia,Medan,Sumatera Utara,3.5591,98.6782,Commercial
LOC-030,Malioboro,Yogyakarta,DI Yogyakarta,-7.7956,110.3695,Commercial
LOC-031,Sleman,Yogyakarta,DI Yogyakarta,-7.7166,110.3559,Residential
LOC-032,Kotagede,Yogyakarta,DI Yogyakarta,-7.8306,110.4032,Residential
LOC-033,Bantul,Yogyakarta,DI Yogyakarta,-7.8914,110.3308,Residential
LOC-034,Condongcatur,Yogyakarta,DI Yogyakarta,-7.7523,110.3975,Commercial
LOC-035,Simpang Lima,Semarang,Jawa Tengah,-6.9932,110.4204,Commercial
LOC-036,Tembalang,Semarang,Jawa Tengah,-7.0516,110.4376,Residential
LOC-037,Genuk,Semarang,Jawa Tengah,-6.9784,110.4698,Industrial
LOC-038,Banyumanik,Semarang,Jawa Tengah,-7.0629,110.4126,Residential
LOC-039,Panakkukang,Makassar,Sulawesi Selatan,-5.1377,119.4527,Commercial
LOC-040,Tamalate,Makassar,Sulawesi Selatan,-5.1934,119.422,Residential
LOC-041,Biringkanaya,Makassar,Sulawesi Selatan,-5.0868,119.5016,Industrial
LOC-042,Kuta,Bali,Bali,-8.7215,115.1685,Commercial
LOC-043,Ubud,Bali,Bali,-8.5069,115.2625,Residential
LOC-044,Denpasar,Bali,Bali,-8.6705,115.2126,Commercial
LOC-045,Seminyak,Bali,Bali,-8.6938,115.1615,Commercial
LOC-046,Nusa Dua,Bali,Bali,-8.8008,115.232,Commercial
